Date,City,PM2.5,PM10,NO2,SO2,AQI
2025-01-01,Delhi,288.2,394.2,60.4,6.4,379
2025-01-01,Mumbai,74.0,107.4,28.7,7.1,86
2025-01-01,Bangalore,75.1,74.5,32.4,5.2,95
2025-01-01,Kolkata,59.0,104.9,31.6,12.8,103
2025-01-01,Hyderabad,47.4,111.1,27.8,5.4,112
2025-01-01,Chennai,87.2,98.8,29.0,9.7,110
2025-01-02,Delhi,287.1,403.9,72.4,5.6,381
2025-01-02,Mumbai,66.1,147.2,25.2,11.9,134
2025-01-02,Bangalore,41.3,70.9,25.0,11.4,57
2025-01-02,Kolkata,66.6,123.4,22.4,7.2,108
2025-01-02,Hyderabad,42.4,112.1,27.3,10.4,104
2025-01-02,Chennai,68.7,133.8,22.1,12.1,128
2025-01-03,Delhi,287.5,368.3,60.8,6.4,366
2025-01-03,Mumbai,74.8,140.0,30.0,7.3,121
2025-01-03,Bangalore,49.6,77.1,20.8,10.1,66
2025-01-03,Kolkata,77.6,117.1,25.2,12.9,113
2025-01-03,Hyderabad,44.4,109.6,27.9,11.0,110
2025-01-03,Chennai,85.3,131.2,30.4,9.0,112
2025-01-04,Delhi,274.2,377.9,63.4,5.4,364
2025-01-04,Mumbai,53.6,126.4,29.5,8.0,126
2025-01-04,Bangalore,54.1,126.2,30.5,7.7,123
2025-01-04,Kolkata,65.4,111.7,25.1,8.3,103
2025-01-04,Hyderabad,78.6,87.3,22.2,6.0,95
2025-01-04,Chennai,58.9,121.5,25.6,12.4,118
2025-01-05,Delhi,282.5,416.5,71.0,6.9,371
2025-01-05,Mumbai,58.8,119.9,22.1,8.5,115
2025-01-05,Bangalore,73.0,92.1,26.6,7.9,86
2025-01-05,Kolkata,37.8,108.6,26.8,6.4,105
2025-01-05,Hyderabad,51.0,81.7,34.8,5.2,85
2025-01-05,Chennai,59.2,102.2,25.0,9.7,103
2025-01-06,Delhi,293.2,366.1,70.7,12.1,379
2025-01-06,Mumbai,56.4,145.0,31.7,10.7,131
2025-01-06,Bangalore,46.1,116.8,20.7,12.1,117
2025-01-06,Kolkata,44.8,86.2,33.1,5.7,72
2025-01-06,Hyderabad,76.8,101.0,34.2,9.4,106
2025-01-06,Chennai,85.2,145.5,20.1,7.4,123
2025-01-07,Delhi,275.0,404.1,72.0,12.0,374
2025-01-07,Mumbai,55.1,127.2,24.7,10.1,107
2025-01-07,Bangalore,74.3,123.4,30.3,12.3,121
2025-01-07,Kolkata,49.5,95.8,30.2,8.5,97
2025-01-07,Hyderabad,45.2,125.9,31.1,12.3,114
2025-01-07,Chennai,58.5,112.6,34.6,10.5,108
2025-01-08,Delhi,270.9,403.8,60.1,10.2,359
2025-01-08,Mumbai,82.2,144.0,26.3,7.3,131
2025-01-08,Bangalore,58.6,92.3,26.4,7.1,94
2025-01-08,Kolkata,44.7,115.3,30.9,6.9,93
2025-01-08,Hyderabad,38.0,107.4,30.8,8.6,100
2025-01-08,Chennai,89.5,95.7,23.8,10.6,122
2025-01-09,Delhi,265.5,408.0,74.3,5.8,366
2025-01-09,Mumbai,57.7,135.8,29.0,5.6,136
2025-01-09,Bangalore,48.9,105.5,22.8,12.7,97
2025-01-09,Kolkata,63.2,74.7,26.1,10.4,86
2025-01-09,Hyderabad,57.1,117.6,22.7,7.7,95
2025-01-09,Chennai,58.9,92.2,33.7,5.0,85
2025-01-10,Delhi,266.4,395.5,65.1,9.0,357
2025-01-10,Mumbai,56.5,133.9,23.1,11.8,130
2025-01-10,Bangalore,66.1,121.8,32.5,11.1,111
2025-01-10,Kolkata,48.8,119.6,28.6,7.0,106
2025-01-10,Hyderabad,50.0,93.6,32.0,12.2,81
2025-01-10,Chennai,85.8,124.7,32.8,6.4,104
2025-01-11,Delhi,266.7,416.8,62.3,6.8,368
2025-01-11,Mumbai,50.6,94.3,22.1,7.7,83
2025-01-11,Bangalore,44.3,125.4,23.9,10.6,117
2025-01-11,Kolkata,79.9,117.3,25.4,7.7,104
2025-01-11,Hyderabad,75.5,105.4,28.6,9.9,93
2025-01-11,Chennai,55.4,124.3,22.7,8.7,115
2025-01-12,Delhi,296.7,402.9,74.2,6.0,395
2025-01-12,Mumbai,59.3,147.8,29.5,8.8,125
2025-01-12,Bangalore,55.1,105.4,33.3,13.0,92
2025-01-12,Kolkata,57.7,121.0,29.4,6.0,99
2025-01-12,Hyderabad,63.6,109.0,33.4,9.3,110
2025-01-12,Chennai,75.0,131.2,32.7,10.8,124
2025-01-13,Delhi,294.8,388.7,70.7,10.7,373
2025-01-13,Mumbai,79.9,128.8,34.7,9.9,105
2025-01-13,Bangalore,77.3,104.7,33.0,10.5,114
2025-01-13,Kolkata,54.9,77.2,26.6,8.5,73
2025-01-13,Hyderabad,64.4,82.9,21.9,12.0,95
2025-01-13,Chennai,80.1,114.5,32.7,7.5,94
2025-01-14,Delhi,298.6,399.5,68.9,12.3,395
2025-01-14,Mumbai,52.0,145.2,29.8,8.9,122
2025-01-14,Bangalore,77.2,102.0,27.3,12.2,104
2025-01-14,Kolkata,58.4,102.1,33.1,5.2,90
2025-01-14,Hyderabad,75.2,101.5,25.3,12.2,107
2025-01-14,Chennai,51.6,111.4,29.4,6.1,96
2025-01-15,Delhi,309.9,361.9,72.9,9.7,411
2025-01-15,Mumbai,77.8,141.5,30.7,10.2,127
2025-01-15,Bangalore,47.9,76.2,25.5,6.7,63
2025-01-15,Kolkata,63.1,89.5,28.3,10.5,83
2025-01-15,Hyderabad,56.8,119.8,28.2,12.5,104
2025-01-15,Chennai,67.6,106.2,21.0,6.1,101
2025-01-16,Delhi,277.1,362.5,62.7,9.4,358
2025-01-16,Mumbai,86.2,113.4,24.4,8.4,122
2025-01-16,Bangalore,51.1,100.2,31.7,5.6,98
2025-01-16,Kolkata,53.1,94.1,27.7,10.5,78
2025-01-16,Hyderabad,59.0,86.8,29.9,12.6,73
2025-01-16,Chennai,89.8,93.6,29.8,7.7,125
2025-01-17,Delhi,265.8,393.0,62.2,5.0,349
2025-01-17,Mumbai,76.1,149.4,23.5,5.5,142
2025-01-17,Bangalore,39.6,73.9,29.1,11.1,74
2025-01-17,Kolkata,51.5,106.1,33.6,5.7,108
2025-01-17,Hyderabad,61.2,72.6,34.1,9.8,79
2025-01-17,Chennai,81.0,127.3,34.5,11.8,120
