Date,City,Temperature,Humidity,Rainfall,WindSpeed
2025-01-01,Delhi,13.4,63,0.0,8.7
2025-01-01,Mumbai,25.4,60,0.0,8.1
2025-01-01,Bangalore,27.8,38,0.0,7.9
2025-01-01,Kolkata,20.5,58,0.0,21.6
2025-01-02,Delhi,11.6,55,0.0,17.3
2025-01-02,Mumbai,20.1,59,0.0,10.8
2025-01-02,Bangalore,21.3,62,0.0,24.5
2025-01-02,Kolkata,20.8,64,0.0,9.0
2025-01-03,Delhi,15.3,37,0.0,22.2
2025-01-03,Mumbai,24.1,52,0.0,24.0
2025-01-03,Bangalore,27.3,43,0.0,5.3
2025-01-03,Kolkata,22.2,62,0.0,7.4
2025-01-04,Delhi,10.3,48,0.0,12.8
2025-01-04,Mumbai,26.8,64,0.0,15.4
2025-01-04,Bangalore,21.7,52,0.0,20.5
2025-01-04,Kolkata,28.1,48,0.0,19.5
2025-01-05,Delhi,15.1,62,0.0,5.9
2025-01-05,Mumbai,23.5,52,0.0,15.8
2025-01-05,Bangalore,28.7,62,0.0,15.9
2025-01-05,Kolkata,27.2,35,0.0,5.3
2025-01-06,Delhi,13.6,42,0.0,5.1
2025-01-06,Mumbai,26.4,37,0.0,20.8
2025-01-06,Bangalore,28.3,60,0.0,7.3
2025-01-06,Kolkata,25.6,36,0.0,6.9
2025-01-07,Delhi,16.0,39,0.0,19.6
2025-01-07,Mumbai,28.0,35,0.0,12.7
2025-01-07,Bangalore,27.6,39,0.0,16.2
2025-01-07,Kolkata,24.4,43,0.0,19.2
2025-01-08,Delhi,14.0,53,0.0,5.6
2025-01-08,Mumbai,22.8,38,0.0,23.2
2025-01-08,Bangalore,23.7,45,0.0,9.1
2025-01-08,Kolkata,25.4,53,0.0,8.2
2025-01-09,Delhi,17.3,59,0.0,7.1
2025-01-09,Mumbai,22.0,54,0.0,22.9
2025-01-09,Bangalore,27.3,62,0.0,12.1
2025-01-09,Kolkata,22.4,61,0.0,13.5
2025-01-10,Delhi,17.7,41,0.0,8.3
2025-01-10,Mumbai,24.4,35,0.0,7.4
2025-01-10,Bangalore,28.5,56,0.0,9.4
2025-01-10,Kolkata,23.6,64,0.0,24.4
2025-01-11,Delhi,12.3,36,0.0,19.2
2025-01-11,Mumbai,29.0,61,0.0,17.2
2025-01-11,Bangalore,20.5,39,0.0,11.9
2025-01-11,Kolkata,26.1,55,0.0,14.8
2025-01-12,Delhi,12.2,38,0.0,6.6
2025-01-12,Mumbai,22.2,40,0.0,12.4
2025-01-12,Bangalore,25.7,45,0.0,21.3
2025-01-12,Kolkata,21.4,61,7.2,8.7
2025-01-13,Delhi,16.1,53,0.0,19.2
2025-01-13,Mumbai,23.1,41,0.0,8.5
2025-01-13,Bangalore,23.5,52,0.0,21.8
2025-01-13,Kolkata,26.6,52,0.0,23.5
2025-01-14,Delhi,12.3,62,0.0,8.5
2025-01-14,Mumbai,24.6,51,0.0,9.8
2025-01-14,Bangalore,28.1,39,0.0,22.7
2025-01-14,Kolkata,22.5,53,0.0,19.5
2025-01-15,Delhi,18.0,58,0.0,22.8
2025-01-15,Mumbai,28.4,38,0.0,23.0
2025-01-15,Bangalore,20.1,64,0.0,23.8
2025-01-15,Kolkata,22.6,48,0.0,16.0
2025-01-16,Delhi,15.9,43,5.4,8.5
2025-01-16,Mumbai,21.6,58,0.0,18.0
2025-01-16,Bangalore,25.9,35,0.0,15.9
2025-01-16,Kolkata,25.7,56,0.0,9.9
2025-01-17,Delhi,13.5,56,0.0,23.1
2025-01-17,Mumbai,23.2,35,0.0,16.5
2025-01-17,Bangalore,21.8,63,0.0,15.0
2025-01-17,Kolkata,26.9,51,0.0,24.9
2025-01-18,Delhi,12.5,40,21.1,12.4
2025-01-18,Mumbai,23.9,55,0.0,16.4
2025-01-18,Bangalore,20.7,63,0.0,12.7
2025-01-18,Kolkata,22.9,52,0.0,16.1
2025-01-19,Delhi,16.3,42,0.0,6.4
2025-01-19,Mumbai,26.0,57,0.0,7.8
2025-01-19,Bangalore,27.9,51,0.0,22.0
2025-01-19,Kolkata,26.4,41,0.0,10.9
2025-01-20,Delhi,17.3,59,0.0,17.2
2025-01-20,Mumbai,20.0,38,0.0,21.0
2025-01-20,Bangalore,26.3,50,0.0,6.0
2025-01-20,Kolkata,20.2,36,0.0,6.9
2025-01-21,Delhi,10.3,59,0.0,8.1
2025-01-21,Mumbai,27.6,60,25.9,5.6
2025-01-21,Bangalore,23.2,62,0.0,11.5
2025-01-21,Kolkata,22.4,46,0.0,17.5
2025-01-22,Delhi,10.5,54,0.0,13.2
2025-01-22,Mumbai,21.2,50,0.0,24.5
2025-01-22,Bangalore,22.9,51,0.0,13.0
2025-01-22,Kolkata,26.7,60,0.0,5.5
2025-01-23,Delhi,17.5,43,0.0,18.8
2025-01-23,Mumbai,28.2,49,0.0,10.0
2025-01-23,Bangalore,26.4,42,0.0,23.7
2025-01-23,Kolkata,24.7,39,0.0,17.2
2025-01-24,Delhi,12.2,50,0.0,8.2
2025-01-24,Mumbai,23.1,62,29.0,5.9
2025-01-24,Bangalore,26.3,46,0.0,5.3
2025-01-24,Kolkata,27.3,38,0.0,8.5
2025-01-25,Delhi,13.6,44,0.0,24.0
2025-01-25,Mumbai,22.3,44,0.0,17.5
2025-01-25,Bangalore,27.7,39,0.0,18.7
2025-01-25,Kolkata,28.5,36,0.0,5.5
2025-01-26,Delhi,18.5,58,0.0,18.5
2025-01-26,Mumbai,21.2,63,0.0,15.9
