date,product_id,price,is_promotion,weather_score,units_sold
2026-01-01,P_101,19.99,0,8,45
2026-01-02,P_101,19.99,0,7,42
2026-01-03,P_101,19.99,0,4,38
2026-01-04,P_101,19.99,0,9,55
2026-01-05,P_101,19.99,0,8,48
2026-01-06,P_101,19.99,0,7,46
2026-01-07,P_101,19.99,0,6,44
2026-01-08,P_101,14.99,1,8,89
2026-01-09,P_101,14.99,1,9,95
2026-01-10,P_101,14.99,1,5,72
2026-01-11,P_101,14.99,1,8,110
2026-01-12,P_101,19.99,0,7,52
2026-01-13,P_101,19.99,0,6,49
2026-01-14,P_101,19.99,0,5,41
2026-01-15,P_101,19.99,0,8,58
2026-01-16,P_101,19.99,0,7,54
2026-01-17,P_101,19.99,0,4,47
2026-01-18,P_101,19.99,0,9,65
2026-01-19,P_101,19.99,0,8,59
2026-01-20,P_101,19.99,0,7,56
2026-01-21,P_101,19.99,0,6,54
2026-01-22,P_101,12.99,1,8,125
2026-01-23,P_101,12.99,1,9,138
2026-01-24,P_101,12.99,1,5,98
2026-01-25,P_101,12.99,1,8,145
2026-01-26,P_101,19.99,0,7,62
2026-01-27,P_101,19.99,0,6,58
2026-01-28,P_101,19.99,0,5,51
2026-01-29,P_101,19.99,0,8,68
2026-01-30,P_101,19.99,0,7,64
