date,product_id,price,is_promotion,weather_score,units_sold,day_of_week,month,is_weekend,sales_lag_1,sales_lag_7,rolling_mean_3,price_diff
2026-01-08,P_101,14.99,1,8,89,3,1,0,44.0,45.0,46.0,-4.999999999999998
2026-01-09,P_101,14.99,1,9,95,4,1,0,89.0,42.0,59.666666666666664,0.0
2026-01-10,P_101,14.99,1,5,72,5,1,1,95.0,38.0,76.0,0.0
2026-01-11,P_101,14.99,1,8,110,6,1,1,72.0,55.0,85.33333333333333,0.0
2026-01-12,P_101,19.99,0,7,52,0,1,0,110.0,48.0,92.33333333333333,4.999999999999998
2026-01-13,P_101,19.99,0,6,49,1,1,0,52.0,46.0,78.0,0.0
2026-01-14,P_101,19.99,0,5,41,2,1,0,49.0,44.0,70.33333333333333,0.0
2026-01-15,P_101,19.99,0,8,58,3,1,0,41.0,89.0,47.333333333333336,0.0
2026-01-16,P_101,19.99,0,7,54,4,1,0,58.0,95.0,49.333333333333336,0.0
2026-01-17,P_101,19.99,0,4,47,5,1,1,54.0,72.0,51.0,0.0
2026-01-18,P_101,19.99,0,9,65,6,1,1,47.0,110.0,53.0,0.0
2026-01-19,P_101,19.99,0,8,59,0,1,0,65.0,52.0,55.333333333333336,0.0
2026-01-20,P_101,19.99,0,7,56,1,1,0,59.0,49.0,57.0,0.0
2026-01-21,P_101,19.99,0,6,54,2,1,0,56.0,41.0,60.0,0.0
2026-01-22,P_101,12.99,1,8,125,3,1,0,54.0,58.0,56.333333333333336,-6.999999999999998
2026-01-23,P_101,12.99,1,9,138,4,1,0,125.0,54.0,78.33333333333333,0.0
2026-01-24,P_101,12.99,1,5,98,5,1,1,138.0,47.0,105.66666666666667,0.0
2026-01-25,P_101,12.99,1,8,145,6,1,1,98.0,65.0,120.33333333333333,0.0
2026-01-26,P_101,19.99,0,7,62,0,1,0,145.0,59.0,127.0,6.999999999999998
2026-01-27,P_101,19.99,0,6,58,1,1,0,62.0,56.0,101.66666666666667,0.0
2026-01-28,P_101,19.99,0,5,51,2,1,0,58.0,54.0,88.33333333333333,0.0
2026-01-29,P_101,19.99,0,8,68,3,1,0,51.0,125.0,57.0,0.0
2026-01-30,P_101,19.99,0,7,64,4,1,0,68.0,138.0,59.0,0.0
